//     opt           x           y       theta         acc         dec          vi          vm          ve
0x00010388    -1777430    -1793829           0    16000000    16000000       50000     1973631       50000
0x0000010C    -1781800    -1796258  -119059315     5000000     5000000       50000       50000       50000
0x00000108    -2014981    -1801258           0     5000000     5000000       50000      500000       50000
0x0000010C    -2014981    -1796258   -80975176     5000000     5000000       50000       50000       50000
0x0000010C    -1964612    -1788258    -9024729     5000000     5000000       50000      301175      301175
0x00000108    -2020612     -751758           0     5000000     5000000      301175      500000       50000
0x00000108    -1519112     -751758           0     5000000     5000000       50000      500000      500000
0x00000108    -1420612     -751758           0     5000000     5000000      500000      500000       50000
0x00000108    -1420612    -1788258           0     5000000     5000000       50000      500000      301164
0x0000010C    -1476612    -1788258    -9024844     5000000     5000000      301164      301164       50000
0x0000010C    -1426243    -1796258   -80975176     5000000     5000000       50000       50000       50000
0x00000108    -1659424    -1801258           0     5000000     5000000       50000      500000       50000
0x0000010C    -1659424    -1796258  -119059200     5000000     5000000       50000       50000       50000
0x0000010C    -1720612    -1762258   238118522     5000000     5000000       50000      430769      100000
0x00000328    -1777430    -1793829           0     5000000     5000000      100000      100000      100000
